"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN276416_c0_g1"	19.5664092999503	10.8907727909607	80.9320180595881	8.60313414111792e-10	3.14874709564916e-08
"TRINITY_DN278382_c0_g1"	19.488640169851	10.8598775497771	79.1832559725062	1.08375270621312e-09	3.85635337960836e-08
"TRINITY_DN226644_c0_g1"	17.2180924516637	10.6710094233956	64.0339344889852	4.59744547461761e-09	1.59171017648247e-07
"TRINITY_DN251191_c0_g2"	18.4791278065417	10.4918361859031	62.8206602164145	1.15498477327297e-08	3.89351445937544e-07
"TRINITY_DN312701_c0_g2"	16.9723068342116	10.8261400362783	58.0219397979544	1.29344635938149e-08	4.24847381119919e-07
"TRINITY_DN278968_c0_g1"	17.0883166017461	10.3815116356732	57.0798229207685	1.53086954961909e-08	4.90260973265515e-07
"TRINITY_DN271666_c1_g1"	18.0259266733114	10.1456852494234	53.1514181355976	5.78798098181217e-08	1.80839113114668e-06
"TRINITY_DN316900_c0_g1"	17.3485745456819	9.83084851785533	44.3465890383024	3.00881949621774e-07	9.17689946346409e-06
"TRINITY_DN312737_c2_g2"	16.516024555768	9.76416849811706	40.3806209831296	6.77032812423468e-07	2.01692798305689e-05
"TRINITY_DN255903_c0_g1"	16.419682836458	9.59453111044841	39.2073143303134	8.68669900806988e-07	2.52901396121307e-05
"TRINITY_DN256449_c0_g1"	16.099566223232	9.25830155798426	37.1044296156389	1.37352485910531e-06	3.90996743225313e-05
"TRINITY_DN277202_c0_g1"	15.8407048773713	9.14476843393588	36.3928544186829	1.6094500792134e-06	4.48196859015732e-05
"TRINITY_DN317297_c1_g3"	15.7909495600433	9.12884051448856	36.1988068945802	1.68107604318058e-06	4.58182640705176e-05
"TRINITY_DN299755_c1_g3"	15.2132819551266	8.89481523139604	34.9881191209768	2.21270649017895e-06	5.90516044566508e-05
"TRINITY_DN311753_c2_g6"	15.3585769950374	9.30183304796755	34.636620281524	2.39892714702145e-06	6.27148097007038e-05
"TRINITY_DN314271_c1_g1"	14.5243282681572	9.29812505031981	32.0682665605866	3.11404533159653e-06	7.9781841395503e-05
"TRINITY_DN311484_c1_g5"	14.1658030656106	8.47331048215546	33.1383252383738	3.40359235301247e-06	8.54902314550779e-05
"TRINITY_DN310761_c3_g3"	-7.856979700861	15.1333237773961	29.2861732142411	4.89306718437888e-06	0.000120538828138257
"TRINITY_DN310761_c3_g1"	-8.54953016042792	13.1558302794355	28.6543815748997	5.83765090810164e-06	0.000141094921005249
"TRINITY_DN311489_c3_g5"	13.5066111186145	8.19650290460838	29.7667111766831	7.73574478416665e-06	0.000183509056824398
"TRINITY_DN295269_c0_g2"	13.3983429023946	8.2041830518097	29.2020563066829	8.91951593466526e-06	0.000206343426729534
"TRINITY_DN294779_c0_g2"	-7.29511962898657	15.0190216590461	27.1251208991127	9.02047767123647e-06	0.000206343426729534
"TRINITY_DN311731_c0_g1"	13.0577742987915	8.02267062413787	26.9586643231443	1.59417505227109e-05	0.000358269867010398
"TRINITY_DN314888_c2_g4"	-10.4462463381164	10.3685373473984	23.4036571506604	2.73555656948865e-05	0.000604180683709475
"TRINITY_DN311486_c4_g1"	-7.33963445148881	11.5129558174475	21.8902686311873	4.39217538634984e-05	0.000953623164392228
"TRINITY_DN298167_c1_g1"	-6.41608800750417	14.401189370706	20.5916257525359	6.66838688591028e-05	0.00142370060014184
"TRINITY_DN296373_c0_g2"	12.203102454991	7.74670815836167	20.6272510547211	9.50468400536394e-05	0.00199598364112643
"TRINITY_DN293386_c0_g1"	13.3944735509365	8.17765917635032	18.622214744183	0.000176351907060978	0.00364365795072762
"TRINITY_DN314629_c1_g3"	-11.5403702793588	8.78098907454656	17.7855104700267	0.000196197029163609	0.00398933959299338
"TRINITY_DN312702_c0_g1"	13.6968913563835	8.66117904600001	17.9161893303341	0.000220762596552691	0.00441870134662495
"TRINITY_DN316234_c0_g1"	8.65295344663654	10.8146992626557	16.8265535878365	0.000238750007777684	0.00470521169174174
"TRINITY_DN310763_c3_g1"	-10.5118719669098	7.85346020918154	17.0037538061328	0.000244079725551655	0.00473736558229803
"TRINITY_DN316237_c1_g2"	-5.34418019151656	12.0677755212291	16.4647653916585	0.000271378582803775	0.00518859648614383
"TRINITY_DN384783_c0_g1"	11.1585528146363	7.4082874378257	17.1288619590094	0.000284888222022207	0.00536679135897717
"TRINITY_DN298834_c0_g6"	11.0257000637838	7.58163988203142	17.0263553578336	0.000294612311725315	0.0054695416133352
"TRINITY_DN296759_c4_g1"	10.1854987714271	8.50590531064838	15.9332800537496	0.000328192934840097	0.00600593070757377
"TRINITY_DN317247_c5_g1"	-5.13548534391095	12.4147351810295	15.0627327812874	0.000450343683773751	0.00812521491428415
"TRINITY_DN312722_c5_g1"	-6.21185771419981	10.5937447500686	14.9647680288041	0.000466856309691023	0.00830615184325279
"TRINITY_DN311493_c0_g1"	11.3803108745579	9.69930741201492	14.2315642556879	0.000612910915291714	0.0107553271573793
"TRINITY_DN251191_c0_g1"	10.1611292931091	7.11822430055779	14.650427710499	0.000657532637139978	0.0113824230834637
"TRINITY_DN292370_c1_g7"	-4.90871910234014	13.128450638113	13.5432473937741	0.000794881920670896	0.0135765832050589
"TRINITY_DN312005_c1_g1"	9.77006016497246	7.02138830862452	13.9867746917066	0.000830328982204282	0.0139954135026801
