gene,logP
TRINITY_DN238271_c0_g1,-4.25698707430529
TRINITY_DN311775_c0_g3,-4.24126815701495
TRINITY_DN5913_c0_g1,-4.19190144293822
TRINITY_DN63063_c0_g1,-4.1509286632219
TRINITY_DN292968_c0_g1,-4.11482537114449
TRINITY_DN276940_c0_g1,-4.11196656393408
TRINITY_DN312097_c0_g1,-4.10597262780179
TRINITY_DN312006_c1_g2,-4.10057217321523
TRINITY_DN353201_c0_g1,-4.0622315079196
TRINITY_DN238434_c0_g1,-4.04562115416655
TRINITY_DN523509_c0_g1,-4.03217279456545
TRINITY_DN344357_c0_g1,-4.02004334413474
TRINITY_DN211138_c0_g1,-3.99166000357617
TRINITY_DN222187_c0_g1,-3.99166000357617
TRINITY_DN314214_c0_g4,-3.9886708936193
TRINITY_DN106797_c0_g1,-3.97824868962088
TRINITY_DN62284_c0_g1,-3.96710029478712
TRINITY_DN312708_c0_g5,-3.96577513810729
TRINITY_DN25206_c0_g1,-3.96408516485221
TRINITY_DN173244_c0_g1,-3.94344759337465
TRINITY_DN371424_c0_g1,-3.89506098979257
TRINITY_DN254040_c0_g1,-3.8704766910077
TRINITY_DN34086_c0_g1,-3.8540106810004
TRINITY_DN616796_c0_g1,-3.85401061814078
TRINITY_DN316993_c2_g1,-3.83332577781089
TRINITY_DN310763_c2_g1,-3.82325782703834
TRINITY_DN462817_c0_g1,-3.82125531606355
TRINITY_DN492528_c0_g1,-3.81159685981836
TRINITY_DN314160_c5_g1,-3.80468894568569
TRINITY_DN314218_c0_g1,-3.80452225581751
TRINITY_DN31468_c0_g1,-3.79647133713986
TRINITY_DN296750_c0_g5,-3.78940913206707
TRINITY_DN317260_c4_g1,-3.78843365588532
TRINITY_DN38558_c0_g1,-3.77674395195448
TRINITY_DN233692_c0_g1,-3.7677572200321
TRINITY_DN238435_c0_g1,-3.74881109361479
TRINITY_DN29922_c0_g1,-3.74353483853391
TRINITY_DN649901_c0_g1,-3.73057248441155
TRINITY_DN385116_c0_g1,-3.72932709723899
TRINITY_DN674368_c0_g1,-3.72932709723899
TRINITY_DN220363_c0_g1,-3.72241241600547
TRINITY_DN4636_c0_g1,-3.71893606770485
TRINITY_DN34981_c0_g1,-3.71621165008567
TRINITY_DN32490_c0_g1,-3.70826630175046
TRINITY_DN294665_c8_g5,-3.6840278130798
TRINITY_DN139764_c0_g1,-3.67810167151515
TRINITY_DN276980_c0_g2,-3.66219166872688
TRINITY_DN250501_c0_g1,-3.65913347530796
TRINITY_DN6107_c0_g1,-3.65048319585374
TRINITY_DN3178_c0_g1,-3.64632241659516
TRINITY_DN220414_c0_g1,-3.6282246639202
TRINITY_DN222929_c0_g1,-3.62777259062813
TRINITY_DN278960_c0_g1,-3.60114471841244
TRINITY_DN314214_c0_g2,-3.56956979191142
TRINITY_DN294764_c0_g1,-3.55607033373734
TRINITY_DN11596_c0_g1,-3.55169721899261
TRINITY_DN17353_c0_g1,-3.55169721899261
TRINITY_DN172856_c0_g1,-3.55169721797806
TRINITY_DN294652_c0_g1,-3.55169718903276
TRINITY_DN227513_c0_g1,-3.50813438108526
TRINITY_DN594267_c0_g1,-3.50490514638631
TRINITY_DN64831_c0_g1,-3.50490514616404
TRINITY_DN314250_c1_g1,-3.50490514594179
TRINITY_DN455696_c0_g1,-3.50490514485525
TRINITY_DN111788_c0_g1,-3.50490514242985
TRINITY_DN540200_c0_g1,-3.50490510974487
TRINITY_DN593402_c0_g1,-3.50490510769253
TRINITY_DN666083_c0_g1,-3.50490502299878
TRINITY_DN312762_c1_g3,-3.50490490763817
TRINITY_DN294198_c5_g1,-3.50083924557002
TRINITY_DN271513_c0_g1,-3.47708271647806
TRINITY_DN277372_c0_g3,-3.47575116730254
TRINITY_DN314643_c0_g1,-3.41820314965805
TRINITY_DN226744_c0_g1,-3.40868832968096
TRINITY_DN296719_c0_g1,-3.40559582462632
TRINITY_DN274048_c0_g1,-3.35842707706393
TRINITY_DN314628_c4_g4,-3.3579565849796
TRINITY_DN296785_c0_g1,-3.35606072801897
TRINITY_DN220145_c0_g2,-3.33915160556598
TRINITY_DN312041_c2_g2,-3.33865291642988
TRINITY_DN3404_c0_g1,-3.3357608729403
TRINITY_DN274525_c0_g1,-3.31382136574038
TRINITY_DN312009_c2_g1,-3.30766091323075
TRINITY_DN256248_c0_g1,-3.2922755321595
TRINITY_DN298176_c0_g1,-3.28927474872818
TRINITY_DN314214_c0_g1,-3.26915393022954
TRINITY_DN252811_c1_g1,-3.26522864110602
TRINITY_DN316644_c1_g2,-3.25988287187756
TRINITY_DN296778_c0_g2,-3.25149625802524
TRINITY_DN276401_c0_g1,-3.23062950983517
TRINITY_DN584380_c0_g1,-3.2281735236094
TRINITY_DN349120_c0_g1,-3.22037198960231
TRINITY_DN385105_c0_g1,-3.22037198960231
TRINITY_DN684456_c0_g1,-3.22037198920576
TRINITY_DN35246_c0_g1,-3.22037198687065
TRINITY_DN620315_c0_g1,-3.22037198647409
TRINITY_DN314214_c0_g5,-3.22037180377294
TRINITY_DN312082_c2_g4,-3.17146355521447
TRINITY_DN45561_c0_g1,-3.16513742322226
TRINITY_DN311484_c1_g6,-3.13518998919086
TRINITY_DN68954_c0_g1,-3.13518994623036
TRINITY_DN256940_c0_g1,-3.12949241670413
TRINITY_DN294168_c4_g1,-3.10869353068386
TRINITY_DN294138_c0_g1,-3.10524840959507
TRINITY_DN649964_c0_g1,-3.09683326612268
TRINITY_DN274899_c0_g1,-3.09665024695916
TRINITY_DN314633_c5_g1,-3.08996489507772
TRINITY_DN311750_c0_g1,-3.08399338301223
TRINITY_DN277375_c0_g1,-3.07639123121557
