GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN277042_c0_g1	1.060434796	3.245692511	1.060434796	1.060434796	1.655951822	1.060434796	1.993143853	3.265726262	1.060434796	2.918429325	1.060434796	1.060434796	2.160810364	1.555100532	1.695418181
TRINITY_DN277043_c0_g1	8.449720053	7.403604767	7.630639638	9.700857898	9.962167789	10.9922047	9.345046584	1.060434796	1.531363875	1.060434796	2.611495673	1.775037812	1.060434796	1.060434796	1.060434796
TRINITY_DN277043_c0_g2	1.060434796	2.532423455	1.060434796	1.854878329	2.076237769	1.060434796	1.993143853	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277045_c0_g1	1.060434796	2.532423455	1.060434796	2.739959837	2.076237769	1.060434796	1.060434796	1.74026046	1.060434796	2.461325844	1.060434796	1.060434796	3.437572908	1.555100532	3.499621448
TRINITY_DN277047_c0_g1	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	4.731496028	5.22908301	4.361947785	2.831435791	2.250773536	1.526532857	2.848688498	2.743762709
TRINITY_DN277050_c0_g2	1.060434796	1.060434796	1.060434796	1.854878329	2.076237769	1.060434796	1.060434796	1.440025908	1.060434796	2.461325844	1.060434796	1.060434796	1.060434796	1.555100532	1.060434796
TRINITY_DN277051_c0_g1	1.060434796	1.060434796	2.009723777	1.060434796	1.060434796	1.060434796	1.060434796	4.510934998	1.531363875	3.457054717	1.628546064	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277053_c0_g1	5.936484812	2.532423455	3.559860772	6.118489898	3.254867974	5.15262556	4.634086158	10.48569183	9.194097307	8.450084713	8.4525216	9.782073213	8.988510527	10.26788532	10.5596155
TRINITY_DN277058_c0_g1	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	5.169172206	1.060434796	4.040590695	1.060434796	1.775037812	2.396988615	1.060434796	1.060434796
TRINITY_DN277059_c0_g1	1.060434796	2.334983987	3.779733192	3.284487825	4.48122249	2.855421812	4.108471498	3.808571506	1.060434796	2.781547005	2.611495673	2.250773536	2.396988615	2.215525202	1.060434796
TRINITY_DN277060_c0_g1	1.060434796	1.060434796	1.060434796	4.121188237	1.060434796	1.060434796	1.060434796	3.871795183	1.060434796	1.788362656	1.060434796	1.775037812	4.169355085	1.060434796	1.695418181
TRINITY_DN277063_c0_g1	1.060434796	1.834107156	2.983683776	3.678874998	4.612725043	4.799269373	3.531436265	1.440025908	1.060434796	2.781547005	3.341584286	2.250773536	3.437572908	2.848688498	2.743762709
TRINITY_DN277063_c0_g2	1.060434796	1.060434796	1.060434796	1.060434796	2.076237769	1.060434796	1.060434796	1.060434796	1.060434796	2.049128754	1.060434796	1.060434796	2.396988615	1.060434796	1.060434796
TRINITY_DN277064_c0_g1	2.334412939	1.834107156	5.28443608	5.389171812	5.299641103	3.903475717	4.395084639	5.218650025	2.61133977	3.158481203	3.717707757	3.819438117	5.492986067	2.215525202	1.060434796
TRINITY_DN277072_c0_g1	1.060434796	3.245692511	5.485374166	5.440958065	5.482705474	5.044180074	5.452398703	4.470659013	2.61133977	3.626504368	4.184978259	3.675910599	4.349010673	3.15533094	2.471188131
TRINITY_DN277072_c0_g2	1.060434796	1.834107156	1.060434796	1.854878329	2.89031276	1.060434796	2.554960019	1.440025908	1.060434796	2.461325844	1.060434796	1.775037812	1.878251772	1.060434796	1.060434796
TRINITY_DN277077_c0_g1	1.833703142	1.060434796	2.577378605	1.060434796	1.655951822	1.060434796	1.060434796	5.169172206	1.88581625	3.979314251	1.060434796	1.060434796	1.878251772	1.555100532	1.060434796
TRINITY_DN277084_c0_g1	1.060434796	2.532423455	1.060434796	1.060434796	1.060434796	2.220749492	1.060434796	5.037502286	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.471188131
TRINITY_DN277084_c0_g2	1.060434796	2.532423455	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	4.250460641	1.531363875	1.060434796	2.035083556	1.060434796	1.060434796	1.060434796	1.695418181
TRINITY_DN277085_c1_g1	1.060434796	2.706066443	2.009723777	2.364254418	1.060434796	1.060434796	1.060434796	1.74026046	1.060434796	1.788362656	1.060434796	1.060434796	1.060434796	1.060434796	1.695418181
TRINITY_DN277086_c0_g1	1.060434796	1.834107156	1.060434796	1.060434796	1.060434796	1.060434796	2.554960019	4.922766035	1.060434796	4.454914403	2.035083556	1.775037812	2.777737248	1.060434796	1.060434796
TRINITY_DN277089_c0_g1	1.060434796	1.060434796	2.009723777	1.060434796	1.060434796	1.060434796	1.993143853	1.988649135	1.531363875	1.060434796	1.060434796	5.896579026	1.526532857	3.519587523	3.767340733
TRINITY_DN277201_c0_g1	1.833703142	3.454865611	3.970485375	4.459237633	3.671640229	3.903475717	4.634086158	4.510934998	1.060434796	3.265020575	2.831435791	1.060434796	2.396988615	1.922777888	1.060434796
TRINITY_DN277205_c0_g1	1.060434796	1.834107156	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	7.341170977	1.88581625	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277206_c0_g1	1.060434796	1.060434796	1.060434796	1.854878329	1.655951822	1.060434796	2.958283586	4.04636886	1.060434796	3.457054717	1.060434796	1.060434796	4.169355085	2.215525202	1.060434796
TRINITY_DN277207_c0_g1	8.12994174	6.101884668	8.550176736	8.019052327	6.240740459	7.916682815	7.934908432	9.068465941	8.565442973	8.684106299	8.960773959	9.198818417	8.491855111	8.981124774	8.782282822
TRINITY_DN277209_c0_g1	3.45407728	1.498523235	6.130060819	1.060434796	1.060434796	2.855421812	1.993143853	1.060434796	1.060434796	1.469830349	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277212_c0_g1	12.79020408	9.907418186	13.63578158	11.98379276	11.88260771	12.26800327	12.62650702	12.09783906	11.68591275	11.67558017	12.50864448	13.88122038	12.34798867	13.48498793	12.68707601
TRINITY_DN277213_c0_g2	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	3.29468633	1.060434796	1.060434796	2.407537437	3.778127067	2.611495673	1.060434796	3.327576048	1.060434796	1.695418181
TRINITY_DN277215_c0_g1	11.10024587	10.07909376	11.73283646	9.616107646	8.955922198	10.22861478	9.170963427	1.74026046	1.060434796	1.469830349	1.628546064	1.775037812	1.060434796	1.922777888	1.695418181
TRINITY_DN277216_c0_g1	9.021583909	7.57015025	8.685590458	8.17245037	5.734481377	8.630020437	8.33280181	8.911830519	8.907711676	8.566636973	8.810412256	8.912997654	8.472602725	9.045419737	8.936246203
TRINITY_DN277217_c0_g1	1.060434796	1.060434796	2.009723777	4.647334487	3.084074812	1.060434796	3.273137395	4.661656361	1.060434796	1.469830349	2.035083556	1.775037812	6.278828202	2.848688498	2.471188131
TRINITY_DN277218_c0_g1	10.14842586	7.91789086	9.412797303	7.514284447	5.997723245	8.034748855	8.900414006	9.694815874	9.850248809	9.548230675	9.326854706	9.330473876	8.923827857	9.135695881	9.481256024
TRINITY_DN277219_c0_g1	1.060434796	4.139551492	2.009723777	3.678874998	4.087977427	1.060434796	1.060434796	1.74026046	1.060434796	3.778127067	1.060434796	1.060434796	5.013886004	1.060434796	3.170637387
